ID,Lot Frontage,Lot Area,Year Built,1st Flr SF,Gr Liv Area,Garage Area,Neighborhood,Lot Config,Lot Shape,Overall Qual,Overall Cond,Year Remod/Add,2nd Flr SF,TotRms AbvGrd,SalePrice,SalePrice_BoxCox,SalePrice_BoxCox_Normalized,Total Bsmt SF
1,141.0,31770,1960,1656,1656,528.0,NAmes,Corner,IR1,6,5,1960,0,7,215000,12.873066617774727,1951707.982600628,1080.0
2,80.0,11622,1961,896,896,730.0,NAmes,Inside,Reg,5,6,1961,0,5,105000,12.088017281578024,1832685.2895870747,882.0
3,81.0,14267,1958,1329,1329,312.0,NAmes,Corner,IR1,6,6,1958,0,6,172000,12.62817374429113,1914579.3488219439,1329.0
4,93.0,11160,1968,2110,2110,522.0,NAmes,Corner,Reg,7,5,1968,0,8,244000,13.01211514201272,1972789.3708029857,2110.0
5,74.0,13830,1997,928,1629,482.0,Gilbert,Inside,IR1,5,5,1998,701,6,189900,12.736774957086803,1931044.5672680908,928.0
6,78.0,9978,1998,926,1604,470.0,Gilbert,Inside,IR1,6,6,1998,678,7,195500,12.768670878329266,1935880.363271456,926.0
7,41.0,4920,2001,1338,1338,582.0,StoneBr,Inside,Reg,8,5,2001,0,6,213500,12.865376681620475,1950542.098027544,1338.0
8,43.0,5005,1992,1280,1280,506.0,StoneBr,Inside,IR1,8,5,1992,0,5,191500,12.745982331259745,1932440.5132540506,1280.0
9,39.0,5389,1995,1616,1616,608.0,StoneBr,Inside,IR1,8,5,1996,0,5,236500,12.977793857757094,1967585.8613018154,1595.0
10,60.0,7500,1999,1028,1804,442.0,Gilbert,Inside,Reg,7,5,1999,776,7,189000,12.73156191946465,1930254.2095823225,994.0
11,75.0,10000,1993,763,1655,440.0,Gilbert,Corner,IR1,6,5,1994,892,7,175900,12.652761389603306,1918307.124421495,763.0
12,,7980,1992,1187,1187,420.0,Gilbert,Inside,IR1,6,7,2007,0,6,185000,12.708090805899856,1926695.7132997268,1168.0
13,63.0,8402,1998,789,1465,393.0,Gilbert,Inside,IR1,6,5,1998,676,7,180400,12.68046826179293,1922507.811424136,789.0
14,85.0,10176,1990,1341,1341,506.0,Gilbert,Inside,Reg,7,5,1990,0,5,171500,12.624981544331478,1914095.3738431553,1300.0
15,,6820,1985,1502,1502,528.0,StoneBr,Corner,IR1,8,5,1985,0,4,212000,12.857632942807339,1949368.056339924,1488.0
16,47.0,53504,2003,1690,3279,841.0,StoneBr,CulDSac,IR2,8,5,2003,1589,12,538000,13.884085618406562,2104990.3288109316,1650.0
17,152.0,12134,1988,1080,1752,492.0,Gilbert,Inside,IR1,8,7,2005,672,8,164000,12.575957565061408,1906662.7632212131,559.0
18,88.0,11394,2010,1856,1856,834.0,StoneBr,Corner,Reg,9,2,2010,0,8,394432,13.541136065323625,2052995.1515734396,1856.0
19,140.0,19138,1951,864,864,400.0,Gilbert,Corner,Reg,4,5,1951,0,4,141000,12.410420331845494,1881565.3758559513,864.0
20,85.0,13175,1978,2073,2073,500.0,NWAmes,Inside,Reg,6,6,1988,0,7,210000,12.847222946827797,1947789.7787736405,1542.0
21,105.0,11751,1977,1844,1844,546.0,NWAmes,Inside,IR1,6,6,1977,0,7,190000,12.737352669386858,1931132.155233036,1844.0
22,85.0,10625,1974,1173,1173,528.0,NWAmes,Inside,Reg,7,6,1974,0,6,170000,12.6153492344072,1912635.0026100783,1053.0
23,,7500,2000,814,1674,663.0,Somerst,Inside,Reg,7,5,2000,860,7,216000,12.8781637201966,1952480.7631493711,814.0
24,,11241,1970,1004,1004,480.0,NAmes,CulDSac,IR1,6,7,1970,0,5,149000,12.47085489470052,1890727.9648684456,1004.0
25,,12537,1971,1078,1078,500.0,NAmes,CulDSac,IR1,5,6,2008,0,6,149900,12.477451229621742,1891728.0466596673,1078.0
26,65.0,8450,1968,1056,1056,304.0,NAmes,Inside,Reg,5,6,1968,0,6,142000,12.418158153021702,1882738.5203603609,1056.0
27,70.0,8400,1970,882,882,525.0,NAmes,Corner,Reg,4,5,1970,0,4,126000,12.287324762548252,1862902.6428527283,882.0
28,70.0,10500,1971,864,864,0.0,NAmes,FR2,Reg,4,5,1971,0,5,115000,12.18742969204927,1847757.3777574566,864.0
29,26.0,5858,1999,1337,1337,511.0,NAmes,FR2,IR1,7,5,1999,0,5,184000,12.702144339930765,1925794.1592687643,1405.0
30,21.0,1680,1971,483,987,264.0,BrDale,Inside,Reg,6,5,1971,504,5,96000,11.990158206718117,1817848.7053259239,483.0
31,21.0,1680,1971,525,1092,320.0,BrDale,Inside,Reg,5,5,1971,567,6,105500,12.093206948778915,1833472.1040426958,525.0
32,21.0,1680,1971,525,1092,264.0,BrDale,Inside,Reg,6,5,1971,567,6,88000,11.89520338391532,1803452.4397620722,525.0
33,53.0,4043,1977,1069,1069,440.0,NPkVill,Inside,Reg,6,5,1977,0,4,127500,12.300271376156855,1864865.5014223144,1069.0
34,24.0,2280,1975,855,1456,440.0,NPkVill,FR2,Reg,6,6,1975,601,6,149900,12.477451229621742,1891728.0466596673,855.0
35,24.0,2280,1975,836,836,308.0,NPkVill,FR2,Reg,7,6,1975,0,4,120000,12.23396185593086,1854812.1999215828,836.0
36,24.0,2280,1978,855,1456,440.0,NPkVill,Inside,Reg,6,5,1978,601,7,146000,12.448577969617805,1887350.521575199,855.0
37,102.0,12858,2009,1627,2334,751.0,NridgHt,Inside,IR1,9,5,2010,707,10,376162,13.488809497978568,2045061.8298388598,1590.0
38,98.0,11478,2007,1704,1704,772.0,NridgHt,Inside,Reg,8,5,2008,0,7,306000,13.261268585238675,2010563.9569583228,1704.0
39,83.0,10159,2009,1940,1940,606.0,NridgHt,Inside,IR1,9,5,2010,0,8,395192,13.543260303604432,2053317.211027698,1930.0
40,94.0,12883,2009,1544,1544,868.0,NridgHt,Corner,IR1,8,5,2010,0,7,290941,13.205699021650164,2002138.9589321674,1544.0
41,95.0,12182,2005,1541,1541,532.0,NridgHt,Corner,Reg,7,5,2005,0,7,220000,12.898320618251024,1955536.785463665,1541.0
42,90.0,11520,2005,1698,1698,730.0,NridgHt,Inside,Reg,9,5,2005,0,7,275000,13.143674688232954,1992735.3420442767,1698.0
43,79.0,14122,2005,1822,1822,678.0,NridgHt,Inside,IR1,8,5,2006,0,8,259000,13.077724124669395,1982736.4625864273,1822.0
44,70.0,10171,2004,1535,1535,532.0,NridgHt,Inside,IR1,7,5,2004,0,7,214000,12.867945934618854,1950931.6269358578,1517.0
45,100.0,12919,2009,2364,2364,820.0,NridgHt,Inside,IR1,9,5,2010,0,11,611657,14.026086551148266,2126519.336793076,2330.0
46,44.0,6371,2009,1358,1358,484.0,NridgHt,Inside,IR1,7,5,2010,0,6,224000,12.918117060644066,1958538.1584692441,1358.0
47,110.0,14300,2003,2696,2696,958.0,NridgHt,Inside,Reg,9,5,2004,0,10,500000,13.803083579592291,2092709.4690550738,2846.0
48,105.0,13650,2002,1687,2250,756.0,NridgHt,Corner,Reg,8,5,2002,563,7,320000,13.310547854077193,2018035.2724750203,1671.0
49,61.0,7658,2005,1752,1752,576.0,NridgHt,Inside,Reg,9,5,2005,0,6,319900,13.310203504334957,2017983.0650126748,1752.0
50,41.0,7132,2006,1370,1370,484.0,NridgHt,Inside,IR1,8,5,2006,0,6,205000,12.820761294744583,1943777.8817535243,1370.0
51,36.0,2628,2003,764,1626,474.0,NridgHt,Inside,Reg,7,5,2003,862,6,175500,12.650264608736126,1917928.5831388326,764.0
52,100.0,18494,2005,1324,1324,430.0,Gilbert,Corner,IR1,6,5,2005,0,6,199500,12.790903356213052,1939251.067847698,1324.0
53,43.0,3203,2006,1145,1145,437.0,Blmngtn,Inside,Reg,7,5,2006,0,6,160000,12.548893732768592,1902559.5686138994,1145.0
54,43.0,3182,2004,1269,1269,430.0,Blmngtn,Inside,Reg,8,5,2005,0,6,192000,12.74884398503478,1932874.3735518348,1256.0
55,67.0,13300,2004,744,1374,400.0,Gilbert,Inside,IR1,7,5,2004,630,7,184500,12.705121570894528,1926245.542424819,384.0
