BldgType,GrLivArea,TotalBsmtSF,OverallQual,GarageCars,GarageArea,Neighborhood,YearBuilt,YearRemodAdd,YrSold,SaleType,SaleCondition,TotRmsAbvGrd,FullBath,@1stFlrSF,@2ndFlrSF,SalePrice,Foundation
Single Family Residential,1656,1080,6,2,528,NAmes,1960,1960,2010,WD,Normal,7,1,1656,0,215000,CBlock
Single Family Residential,896,882,5,1,730,NAmes,1961,1961,2010,WD,Normal,5,1,896,0,105000,CBlock
Single Family Residential,1329,1329,6,1,312,NAmes,1958,1958,2010,WD,Normal,6,1,1329,0,172000,CBlock
Single Family Residential,2110,2110,7,2,522,NAmes,1968,1968,2010,WD,Normal,8,2,2110,0,244000,CBlock
Single Family Residential,1629,928,5,2,482,Gilbert,1997,1998,2010,WD,Normal,6,2,928,701,189900,PConc
Single Family Residential,1604,926,6,2,470,Gilbert,1998,1998,2010,WD,Normal,7,2,926,678,195500,PConc
Townhouse End Unit,1338,1338,8,2,582,StoneBr,2001,2001,2010,WD,Normal,6,2,1338,0,213500,PConc
Townhouse End Unit,1280,1280,8,2,506,StoneBr,1992,1992,2010,WD,Normal,5,2,1280,0,191500,PConc
Townhouse End Unit,1616,1595,8,2,608,StoneBr,1995,1996,2010,WD,Normal,5,2,1616,0,236500,PConc
Single Family Residential,1804,994,7,2,442,Gilbert,1999,1999,2010,WD,Normal,7,2,1028,776,189000,PConc
Single Family Residential,1655,763,6,2,440,Gilbert,1993,1994,2010,WD,Normal,7,2,763,892,175900,PConc
Single Family Residential,1187,1168,6,2,420,Gilbert,1992,2007,2010,WD,Normal,6,2,1187,0,185000,PConc
Single Family Residential,1465,789,6,2,393,Gilbert,1998,1998,2010,WD,Normal,7,2,789,676,180400,PConc
Single Family Residential,1341,1300,7,2,506,Gilbert,1990,1990,2010,WD,Normal,5,1,1341,0,171500,PConc
Townhouse End Unit,1502,1488,8,2,528,StoneBr,1985,1985,2010,WD,Normal,4,1,1502,0,212000,PConc
Single Family Residential,3279,1650,8,3,841,StoneBr,2003,2003,2010,WD,Normal,12,3,1690,1589,538000,PConc
Single Family Residential,1752,559,8,2,492,Gilbert,1988,2005,2010,WD,Normal,8,2,1080,672,164000,Wood
Single Family Residential,1856,1856,9,3,834,StoneBr,2010,2010,2010,New,Partial,8,1,1856,0,394432,PConc
Single Family Residential,864,864,4,2,400,Gilbert,1951,1951,2010,WD,Normal,4,1,864,0,141000,CBlock
Single Family Residential,2073,1542,6,2,500,NWAmes,1978,1988,2010,WD,Normal,7,2,2073,0,210000,CBlock
Single Family Residential,1844,1844,6,2,546,NWAmes,1977,1977,2010,COD,Normal,7,2,1844,0,190000,CBlock
Single Family Residential,1173,1053,7,2,528,NWAmes,1974,1974,2010,WD,Family,6,2,1173,0,170000,CBlock
Single Family Residential,1674,814,7,2,663,Somerst,2000,2000,2010,WD,Normal,7,2,814,860,216000,PConc
Single Family Residential,1004,1004,6,2,480,NAmes,1970,1970,2010,WD,Normal,5,1,1004,0,149000,CBlock
Single Family Residential,1078,1078,5,2,500,NAmes,1971,2008,2010,WD,Normal,6,1,1078,0,149900,CBlock
Single Family Residential,1056,1056,5,1,304,NAmes,1968,1968,2010,WD,Normal,6,1,1056,0,142000,CBlock
Single Family Residential,882,882,4,2,525,NAmes,1970,1970,2010,WD,Normal,4,1,882,0,126000,CBlock
Single Family Residential,864,864,4,0,0,NAmes,1971,1971,2010,ConLI,Normal,5,1,864,0,115000,CBlock
Townhouse End Unit,1337,1405,7,2,511,NAmes,1999,1999,2010,WD,Normal,5,2,1337,0,184000,PConc
Twnhs,987,483,6,1,264,BrDale,1971,1971,2010,COD,Normal,5,1,483,504,96000,CBlock
Twnhs,1092,525,5,1,320,BrDale,1971,1971,2010,WD,Normal,6,1,525,567,105500,CBlock
Twnhs,1092,525,6,1,264,BrDale,1971,1971,2010,WD,Family,6,1,525,567,88000,CBlock
Townhouse End Unit,1069,1069,6,2,440,NPkVill,1977,1977,2010,WD,Normal,4,2,1069,0,127500,CBlock
Twnhs,1456,855,6,2,440,NPkVill,1975,1975,2010,WD,Normal,6,2,855,601,149900,CBlock
Twnhs,836,836,7,1,308,NPkVill,1975,1975,2010,WD,Normal,4,1,836,0,120000,CBlock
Twnhs,1456,855,6,2,440,NPkVill,1978,1978,2010,WD,Normal,7,2,855,601,146000,CBlock
Single Family Residential,2334,1590,9,3,751,NridgHt,2009,2010,2010,New,Partial,10,2,1627,707,376162,PConc
Single Family Residential,1704,1704,8,3,772,NridgHt,2007,2008,2010,WD,Normal,7,2,1704,0,306000,PConc
Single Family Residential,1940,1930,9,3,606,NridgHt,2009,2010,2010,New,Partial,8,2,1940,0,395192,PConc
Single Family Residential,1544,1544,8,3,868,NridgHt,2009,2010,2010,New,Partial,7,2,1544,0,290941,PConc
Single Family Residential,1541,1541,7,2,532,NridgHt,2005,2005,2010,New,Partial,7,2,1541,0,220000,PConc
Single Family Residential,1698,1698,9,3,730,NridgHt,2005,2005,2010,WD,Normal,7,2,1698,0,275000,PConc
Single Family Residential,1822,1822,8,3,678,NridgHt,2005,2006,2010,WD,Normal,8,2,1822,0,259000,PConc
Single Family Residential,1535,1517,7,2,532,NridgHt,2004,2004,2010,WD,Normal,7,2,1535,0,214000,PConc
Single Family Residential,2364,2330,9,3,820,NridgHt,2009,2010,2010,New,Partial,11,2,2364,0,611657,PConc
Townhouse End Unit,1358,1358,7,2,484,NridgHt,2009,2010,2010,New,Partial,6,2,1358,0,224000,PConc
Single Family Residential,2696,2846,9,3,958,NridgHt,2003,2004,2010,WD,Normal,10,2,2696,0,500000,PConc
Single Family Residential,2250,1671,8,3,756,NridgHt,2002,2002,2010,WD,Normal,7,2,1687,563,320000,PConc
Townhouse End Unit,1752,1752,9,2,576,NridgHt,2005,2005,2010,WD,Normal,6,2,1752,0,319900,PConc
Townhouse End Unit,1370,1370,8,2,484,NridgHt,2006,2006,2010,WD,Normal,6,2,1370,0,205000,PConc
Twnhs,1626,764,7,2,474,NridgHt,2003,2003,2010,WD,Normal,6,2,764,862,175500,PConc
Single Family Residential,1324,1324,6,2,430,Gilbert,2005,2005,2010,WD,Normal,6,2,1324,0,199500,PConc
Townhouse End Unit,1145,1145,7,2,437,Blmngtn,2006,2006,2010,WD,Normal,6,2,1145,0,160000,PConc
Townhouse End Unit,1269,1256,8,2,430,Blmngtn,2004,2005,2010,WD,Normal,6,2,1269,0,192000,PConc
Single Family Residential,1374,384,7,2,400,Gilbert,2004,2004,2010,WD,Normal,7,2,744,630,184500,PConc
Single Family Residential,1960,860,6,2,440,Gilbert,2002,2002,2010,WD,Normal,8,2,860,1100,216500,PConc
Single Family Residential,1733,847,7,2,433,Gilbert,2004,2004,2010,WD,Normal,7,2,847,886,185088,PConc
Single Family Residential,1430,384,7,2,400,Gilbert,2000,2000,2010,WD,Normal,7,2,774,656,180000,PConc
Single Family Residential,2035,884,7,2,434,Gilbert,2001,2001,2010,WD,Normal,8,2,884,1151,222500,PConc
Single Family Residential,2599,1393,9,3,779,NoRidge,1999,1999,2010,WD,Normal,10,2,1422,1177,333168,PConc
Single Family Residential,2475,1629,8,3,962,NoRidge,1998,1998,2010,WD,Normal,7,2,1645,830,355000,PConc
Single Family Residential,1720,1720,7,2,527,NoRidge,1996,1996,2010,WD,Normal,7,2,1720,0,260400,PConc
Single Family Residential,2622,1463,8,2,712,NoRidge,1994,1995,2010,WD,Normal,9,2,1500,1122,325000,PConc
Single Family Residential,2270,1152,8,3,671,NoRidge,1999,2007,2010,WD,Normal,9,2,1164,1106,290000,PConc
Single Family Residential,1839,1195,7,2,486,NoRidge,1998,1998,2010,WD,Normal,7,2,1195,644,221000,PConc
Single Family Residential,3238,2033,8,3,666,NoRidge,1995,1996,2010,WD,Normal,9,2,2053,1185,410000,PConc
Single Family Residential,1595,1595,8,3,880,Somerst,2005,2006,2010,WD,Normal,6,2,1595,0,221500,PConc
Single Family Residential,1218,1218,7,2,676,Somerst,2009,2010,2010,New,Partial,4,2,1218,0,204500,PConc
Single Family Residential,1547,756,7,2,614,Somerst,2009,2009,2010,Con,Normal,7,2,764,783,215200,PConc
Single Family Residential,1566,1566,8,2,750,Somerst,2008,2008,2010,WD,Normal,7,2,1566,0,262500,PConc
Single Family Residential,1947,991,7,2,678,Somerst,2004,2005,2010,WD,Normal,8,2,991,956,254900,PConc
Single Family Residential,1468,1468,6,2,528,Somerst,2005,2005,2010,WD,Normal,6,2,1468,0,271500,PConc
Single Family Residential,2084,956,7,2,618,SawyerW,2004,2004,2010,WD,Normal,8,2,956,1128,233000,PConc
Single Family Residential,1659,831,7,2,484,SawyerW,2004,2004,2010,WD,Normal,8,2,831,828,181000,PConc
Single Family Residential,2110,948,7,2,463,SawyerW,1994,2002,2010,WD,Normal,8,2,1222,888,205000,PConc
Townhouse End Unit,923,923,6,1,264,SawyerW,1980,1980,2010,WD,Normal,5,2,923,0,143000,CBlock
Single Family Residential,1845,1055,6,2,462,SawyerW,1992,1992,2010,WD,Normal,8,2,1055,790,189000,PConc
Townhouse End Unit,918,918,6,1,264,SawyerW,1979,1979,2010,WD,Normal,5,2,918,0,99500,CBlock
Townhouse End Unit,752,744,6,1,264,SawyerW,1984,1984,2010,WD,Normal,4,1,752,0,125000,CBlock
Single Family Residential,1744,996,7,2,457,SawyerW,1993,2003,2010,WD,Normal,7,2,1014,730,194500,PConc
Single Family Residential,1097,1040,6,2,480,SawyerW,1984,1985,2010,WD,Normal,6,2,1097,0,152000,PConc
Single Family Residential,1564,650,6,2,476,SawyerW,1980,1981,2010,WD,Normal,7,2,888,676,171000,CBlock
Single Family Residential,1012,816,5,1,429,SawyerW,1920,1950,2010,WD,Normal,5,1,1012,0,67500,BrkTil
Duplex,1902,0,6,2,539,Sawyer,1978,1978,2010,WD,Normal,8,2,1318,584,112000,Slab
Single Family Residential,1155,1109,5,2,576,Sawyer,1961,1995,2010,WD,Normal,6,1,1155,0,148000,CBlock
Single Family Residential,894,894,5,1,336,Sawyer,1965,2009,2010,WD,Normal,5,1,894,0,138500,CBlock
Single Family Residential,900,882,5,1,280,Sawyer,1967,1967,2010,WD,Normal,5,1,900,0,122000,CBlock
Single Family Residential,1040,1040,5,1,308,Sawyer,1963,1963,2010,WD,Normal,5,1,1040,0,133000,CBlock
Single Family Residential,1040,1040,5,1,260,Sawyer,1962,2010,2010,WD,Normal,6,1,1040,0,127000,CBlock
Single Family Residential,1494,1208,6,2,461,Sawyer,1974,2002,2010,WD,Abnorml,7,2,1494,0,169000,CBlock
Single Family Residential,1923,750,7,2,564,NoRidge,1992,1992,2010,WD,Normal,8,2,1061,862,190000,PConc
Single Family Residential,2349,1231,8,3,762,NoRidge,1993,1993,2010,WD,Normal,9,2,1251,1098,362500,PConc
Single Family Residential,2225,1390,8,3,713,NoRidge,1992,1993,2010,WD,Normal,7,2,1402,823,285000,PConc
Townhouse End Unit,1488,1488,7,2,506,Somerst,2004,2005,2010,WD,Normal,6,2,1488,0,260000,PConc
Townhouse End Unit,1680,840,7,2,588,Somerst,2004,2004,2010,WD,Normal,3,2,840,840,190000,PConc
Townhouse End Unit,1200,600,7,2,480,Somerst,2004,2004,2010,ConLD,Normal,4,2,600,600,155000,PConc
Townhouse End Unit,1200,600,7,2,480,Somerst,2004,2005,2010,WD,Normal,4,2,600,600,151000,PConc
Twnhs,1200,600,7,2,480,Somerst,2004,2005,2010,WD,Normal,4,2,600,600,149500,PConc
Twnhs,1236,600,6,2,480,Somerst,2005,2005,2010,WD,Normal,4,2,600,636,152000,PConc
Single Family Residential,1478,1470,7,2,484,Somerst,2009,2009,2010,New,Partial,7,2,1478,0,222000,PConc
